target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
4,1,720,540,true,38,10,6,0.844681,0.810390,1.773710,2.090612,6.954444,0.431266,0.562702,1.139501,36,18,16,8,9,100,100,87,87,110,38,42,38,,38,0,60,0,776,51,0,0,0,0,0,0,0,1947
4,2,720,540,true,40,11,5,0.853100,0.849087,1.758638,2.985995,8.865335,0.291288,0.516591,1.457744,27,11,6,14,15,94,94,73,73,125,41,31,41,,40,0,46,0,393,21,0,0,0,0,0,0,0,1992
4,3,720,540,false,0,0,0,,,,1.747313,6.461482,0.352802,,,22,16,33,5,1,104,104,77,77,101,34,36,0,,0,0,207,0,823,29,0,0,0,0,0,0,0,1427
4,4,720,540,true,35,11,4,0.868026,0.538824,1.318154,2.025779,6.012151,0.222141,0.396137,0.995329,18,13,7,17,9,71,71,64,64,114,35,25,35,,35,0,187,0,610,36,0,0,0,0,0,0,0,1613
4,5,720,540,true,51,12,6,0.951716,1.193740,2.152288,2.188283,8.518031,0.321822,0.714454,1.566884,23,17,17,18,12,103,103,87,87,153,53,29,52,,51,0,65,0,748,56,0,0,0,0,0,0,0,2161
5,0,720,540,true,32,9,7,0.828984,0.640984,1.363180,2.100536,6.783498,0.493437,0.550535,1.148784,24,15,19,8,6,99,99,72,72,101,32,31,32,,32,0,53,0,734,30,0,0,0,0,0,0,0,1644
5,1,720,540,true,31,11,4,0.872024,0.625999,1.328624,1.758200,5.563571,0.359491,0.436190,0.953367,19,13,5,17,6,69,69,60,60,98,31,24,31,,31,0,175,0,677,47,0,0,0,0,0,0,0,1563
5,2,720,540,true,34,9,5,0.723793,0.634535,1.084829,2.433610,9.151019,0.273291,0.578237,1.128051,25,8,8,13,9,76,76,63,63,99,34,27,34,,34,0,40,0,334,24,0,0,0,0,0,0,0,1648
5,3,720,540,false,0,0,0,,,,2.104340,5.738739,0.534479,,,19,21,35,0,0,95,95,75,75,91,25,39,0,,0,0,216,0,816,45,0,0,0,0,0,0,0,1334
5,4,720,540,true,38,10,6,0.850047,0.732721,1.825852,2.546991,6.894325,0.432351,0.555085,1.476539,22,13,11,15,10,84,84,71,71,120,38,28,38,,38,0,193,0,744,70,0,0,0,0,0,0,0,1766
5,5,720,540,true,39,10,5,0.803555,0.917011,1.754116,2.114203,9.171305,0.470053,0.584634,1.170923,34,15,9,15,10,97,97,83,83,118,40,39,40,,39,0,72,0,542,20,0,0,0,0,0,0,0,2004
6,0,720,540,false,0,0,0,,,,1.747572,6.450007,0.313823,,,29,15,27,6,2,116,116,79,79,95,22,42,0,,0,0,224,0,811,38,0,0,0,0,0,0,0,1405
6,1,720,540,true,37,10,6,0.816942,0.644362,1.248659,1.661457,4.700495,0.366802,0.517657,0.981979,28,9,9,13,11,90,90,70,70,110,37,31,37,,37,0,205,0,793,43,0,0,0,0,0,0,0,1667
6,2,720,540,true,45,12,5,0.907213,0.669905,1.522812,2.844337,8.310360,0.239975,0.515733,1.416989,27,11,11,19,13,111,111,81,81,142,48,31,47,,45,0,52,0,605,33,0,0,0,0,0,0,0,2240
6,3,720,540,true,20,13,4,0.855797,12.377146,35.002480,1.380818,4.790859,0.327603,17.667212,27.165201,30,10,19,5,9,104,104,73,73,99,33,37,31,,20,0,36,0,522,26,0,0,0,0,0,0,0,2588
6,4,720,540,true,49,12,6,0.924980,0.808653,1.673187,2.335665,6.900171,0.306531,0.601137,1.070490,33,10,13,15,20,115,115,91,91,161,49,39,49,,49,0,56,0,783,47,0,0,0,0,0,0,0,2043
6,5,720,540,true,46,11,6,0.879952,0.833021,1.704061,2.574640,7.552796,0.328960,0.530508,0.944801,28,10,8,16,16,103,103,78,78,138,46,31,46,,46,0,218,0,759,53,0,0,0,0,0,0,0,1997
7,0,720,540,false,0,0,0,,,,2.224593,7.526350,0.341873,,,22,17,34,3,1,126,126,77,77,98,24,33,0,,0,0,206,0,793,57,0,0,0,0,0,0,0,1448
7,1,720,540,true,35,9,6,0.678511,0.770706,1.486214,1.219858,4.022380,0.341407,0.601552,1.297432,19,9,9,11,9,78,78,57,57,96,35,21,35,,35,0,153,0,631,34,0,0,0,0,0,0,0,1560
7,2,720,540,true,42,12,4,0.885443,0.498174,1.348121,3.495049,8.062184,0.284484,0.471435,1.272314,31,6,8,17,14,88,88,76,76,129,42,34,42,,42,0,48,0,487,25,0,0,0,0,0,0,0,1732
7,3,720,540,true,20,10,5,0.670539,21.045362,54.185970,1.576234,4.246984,0.285468,0.555429,30.072142,31,17,18,4,5,93,93,75,75,85,32,39,26,,20,0,93,0,847,29,0,0,0,0,0,0,0,2019
7,4,720,540,true,39,11,5,0.824737,0.729350,1.322891,2.358997,7.544600,0.280908,0.493106,1.032588,31,10,9,12,14,91,91,76,76,120,39,35,39,,39,0,42,0,543,33,0,0,0,0,0,0,0,1818
7,5,720,540,true,45,11,6,0.856537,0.801798,1.545941,2.573871,7.741992,0.282487,0.513695,1.136571,27,18,8,13,15,107,107,81,81,133,45,32,45,,45,0,92,0,579,43,0,0,0,0,0,0,0,1978
8,0,720,540,false,0,0,0,,,,1.815820,5.981033,0.279807,,,36,18,33,3,0,138,138,90,90,93,15,54,0,,0,0,60,0,549,29,0,0,0,0,0,0,0,1531
8,1,720,540,true,42,12,6,0.913490,0.649433,1.098658,2.036967,5.637734,0.273951,0.512342,1.266063,19,9,10,15,11,82,82,64,64,118,43,21,42,,42,0,187,0,580,26,0,0,0,0,0,0,0,1726
8,2,720,540,true,37,11,4,0.827998,0.400257,0.793766,2.828427,8.633536,0.246495,0.454878,1.245930,16,11,16,12,9,75,75,64,64,115,37,20,37,,37,0,208,0,623,21,0,0,0,0,0,0,0,1684
8,3,720,540,true,40,9,9,0.849524,0.629897,1.257167,1.577979,6.822608,0.223764,0.471164,0.802729,26,10,11,7,17,94,94,71,71,121,41,29,40,,40,0,36,0,508,20,0,0,0,0,0,0,0,1752
8,4,720,540,true,44,12,5,0.913847,0.740053,1.511831,1.889258,5.203880,0.314318,0.602906,1.020356,31,11,6,17,14,102,102,79,79,130,44,34,44,,44,0,50,0,523,23,0,0,0,0,0,0,0,1810
8,5,720,540,true,46,11,7,0.886952,0.822019,1.724793,2.596018,7.426957,0.288414,0.553015,1.003927,30,11,11,17,14,101,101,83,83,140,46,34,46,,46,0,50,0,719,53,0,0,0,0,0,0,0,2042
9,0,720,540,false,0,0,0,,,,2.231846,6.749853,0.443398,,,31,19,38,1,0,120,120,89,89,98,27,50,0,,0,0,205,0,887,51,0,0,0,0,0,0,0,1451
9,1,720,540,true,51,12,7,0.914229,0.732343,1.662531,2.156291,5.919042,0.283007,0.488409,0.980321,29,11,8,15,21,108,108,84,84,156,51,31,51,,51,0,48,0,572,46,0,0,0,0,0,0,0,2028
9,2,720,540,true,40,11,4,0.794768,0.644144,1.195518,2.212831,8.981440,0.269786,0.432381,0.924606,17,15,6,18,12,96,96,68,68,129,40,24,40,,40,0,188,0,694,45,0,0,0,0,0,0,0,1848
9,3,720,540,true,43,10,8,0.863249,0.708031,1.474759,1.987571,6.418397,0.327275,0.445526,0.938729,20,13,14,8,16,80,80,71,71,129,44,25,44,,43,0,194,0,751,45,0,0,0,0,0,0,0,2087
9,4,720,540,true,50,12,6,0.870649,0.770144,2.013387,1.830819,5.457758,0.268885,0.660160,1.767837,28,8,12,15,18,101,101,81,81,149,50,31,50,,50,0,237,0,837,46,0,0,0,0,0,0,0,1913
9,5,720,540,true,49,11,7,0.819250,0.708899,3.515283,2.269434,8.077709,0.338695,0.456596,4.639873,34,13,10,16,17,112,112,90,90,149,50,38,50,,49,0,42,0,593,53,0,0,0,0,0,0,0,2322
10,0,720,540,true,29,12,7,0.873116,24.881092,62.246502,1.469666,5.055959,0.514115,0.439734,1.088251,37,19,24,7,10,136,136,97,97,128,40,46,37,,29,0,60,0,888,33,0,0,0,0,0,0,0,3068
10,1,720,540,true,44,11,7,0.940388,0.895847,1.627218,1.978528,8.266633,0.360088,0.598315,1.258137,23,19,15,17,8,102,102,82,82,132,45,30,45,,44,0,56,0,700,47,0,0,0,0,0,0,0,2211
10,2,720,540,true,42,11,5,0.877637,0.764041,1.432940,2.721503,7.291828,0.294262,0.546852,1.153183,25,14,13,16,8,95,95,76,76,120,42,30,42,,42,0,213,0,848,75,0,0,0,0,0,0,0,1778
10,3,720,540,true,20,16,4,0.899349,43.353817,68.175926,2.307825,8.638195,0.383170,14.906806,34.131504,25,18,31,5,2,107,107,81,81,103,40,35,25,,20,0,218,0,934,58,0,0,0,0,0,0,0,1907
