target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
4,0,720,540,true,30,10,8,0.952541,0.313174,0.666458,2.009797,6.270619,0.487164,0.273725,0.560215,32,22,14,10,12,132,132,90,90,128,42,39,42,30,30,0,56,0,734,22,0,0,0,0,0,0,0,1768
4,1,720,540,true,30,10,5,0.816435,0.388916,0.606134,2.090612,6.954444,0.431266,0.394483,0.921628,36,18,16,8,9,100,100,87,87,110,38,42,38,30,30,0,60,0,776,51,0,0,0,0,0,0,0,1609
4,2,720,540,true,27,10,5,0.802491,0.278611,0.571330,2.985995,8.865335,0.291288,0.309891,0.874320,27,11,6,14,15,94,94,73,73,125,41,31,41,27,27,0,46,0,393,21,0,0,0,0,0,0,0,1593
4,3,720,540,false,0,0,0,,,,1.747313,6.461482,0.352802,,,22,16,33,5,1,104,104,77,77,101,34,36,0,,0,0,207,0,823,29,0,0,0,0,0,0,0,1342
4,4,720,540,true,32,11,4,0.868026,0.413782,0.761839,2.025779,6.012151,0.222141,0.412566,0.818935,18,13,7,17,9,71,71,64,64,114,35,25,35,32,32,0,187,0,610,36,0,0,0,0,0,0,0,1472
4,5,720,540,true,36,12,4,0.951716,0.425460,0.754614,2.188283,8.518031,0.321822,0.369900,0.767120,23,17,17,18,12,103,103,87,87,153,53,29,52,36,36,0,65,0,748,56,0,0,0,0,0,0,0,1718
5,0,720,540,true,28,9,7,0.828984,0.416660,0.906251,2.100536,6.783498,0.493437,0.451908,0.871682,24,15,19,8,6,99,99,72,72,101,32,31,32,28,28,0,53,0,734,30,0,0,0,0,0,0,0,1566
5,1,720,540,true,29,11,4,0.872024,0.489439,0.902993,1.758200,5.563571,0.359491,0.436190,0.889111,19,13,5,17,6,69,69,60,60,98,31,24,31,29,29,0,175,0,677,47,0,0,0,0,0,0,0,1436
5,2,720,540,true,32,9,5,0.723793,0.461627,0.800753,2.433610,9.151019,0.273291,0.511874,1.109446,25,8,8,13,9,76,76,63,63,99,34,27,34,32,32,0,40,0,334,24,0,0,0,0,0,0,0,1494
5,3,720,540,false,0,0,0,,,,2.104340,5.738739,0.534479,,,19,21,35,0,0,95,95,75,75,91,25,39,0,,0,0,216,0,816,45,0,0,0,0,0,0,0,1318
