target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
14,5,720,540,true,52,13,6,0.966125,0.706208,1.485931,1.979498,6.865617,0.304901,,,22,12,10,22,11,102,102,77,77,142,52,24,52,,52,0,242,0,766,26,0,0,0,0,0,0,0,1802
15,0,720,540,false,0,0,0,,,,2.376947,6.891415,0.394506,,,30,13,27,4,2,115,115,76,76,87,31,41,0,,0,0,204,0,753,47,0,0,0,0,0,0,0,1524
15,1,720,540,true,32,9,6,0.629973,0.628404,1.242245,1.907494,4.143289,0.349822,,,22,11,12,9,8,93,93,62,62,94,32,26,32,,32,0,171,0,656,52,0,0,0,0,0,0,0,1561
15,2,720,540,true,48,13,5,0.881447,0.571295,1.538110,3.472993,7.295441,0.272636,,,38,5,9,16,19,117,117,87,87,147,48,40,48,,48,0,50,0,651,41,0,0,0,0,0,0,0,1749
15,3,720,540,true,20,9,6,0.628904,18.607470,37.872074,1.902044,4.255508,0.345635,,,30,15,19,7,6,101,101,77,77,98,31,39,26,,20,0,60,0,568,12,0,0,0,0,0,0,0,1746
15,4,720,540,true,45,11,6,0.794771,0.685016,1.325867,2.680754,7.067238,0.235080,,,35,6,7,16,18,111,111,82,82,140,45,37,45,,45,0,48,0,643,63,0,0,0,0,0,0,0,1784
15,5,720,540,true,54,13,6,0.940001,0.694499,1.334027,1.897932,6.308069,0.321221,,,26,16,13,22,9,120,120,86,86,144,54,30,54,,54,0,259,0,915,70,0,0,0,0,0,0,0,2172
16,0,720,540,false,0,0,0,,,,1.697780,5.542767,0.320434,,,23,14,33,3,1,98,98,74,74,93,16,37,0,,0,0,203,0,811,43,0,0,0,0,0,0,0,1384
16,1,720,540,true,52,12,7,0.898988,0.725148,1.292680,2.041161,5.444754,0.272061,,,29,7,7,19,19,105,105,81,81,154,52,30,52,,52,0,52,0,508,34,0,0,0,0,0,0,0,1757
16,2,720,540,true,49,12,5,0.856876,0.727642,1.458670,3.258601,7.186138,0.233254,,,25,6,11,20,12,98,98,74,74,136,49,26,49,,49,0,253,0,737,42,0,0,0,0,0,0,0,1727
