target_index,snap_index,width,height,detection_ok,corner_count,extent_i,extent_j,horizontal_coverage_frac,residual_median_px,residual_p95_px,edge_axis_residual_median_deg,edge_axis_residual_p95_deg,local_step_cv,local_homography_residual_median_px,local_homography_residual_p95_px,graph_degree_0,graph_degree_1,graph_degree_2,graph_degree_3,graph_degree_4,raw_corners,after_strength_filter,after_orientation_cluster_filter,graph_nodes,graph_edges,largest_component,num_components,assigned_grid_corners,after_global_homography_prune,final_labeled_corners,reject_out_of_distance_window,reject_out_of_step_window,reject_axis_line_disagree,reject_no_axis_match_source,reject_no_axis_match_candidate,reject_not_orthogonal,reject_edge_axis_angle_mismatch,reject_missing_cluster,reject_same_cluster_legacy,reject_low_alignment,reject_cluster_polarity_flip,reject_local_homography_residual,timing_total_us
14,4,720,540,false,0,0,0,,,,5.360606,8.889027,0.231515,,,57,12,0,0,0,75,75,69,69,12,2,63,0,,0,0,0,0,0,0,0,0,0,82,80,0,0,1147
14,5,720,540,false,0,0,0,,,,2.482774,8.444600,0.263243,,,7,32,27,0,0,68,68,66,66,86,5,23,0,,0,0,0,0,0,0,0,0,0,58,52,0,0,1129
15,0,720,540,false,0,0,0,,,,2.491134,8.928014,0.254553,,,21,24,13,0,0,63,63,58,58,50,7,33,0,,0,0,0,0,0,0,0,0,0,46,44,0,0,1073
15,1,720,540,false,0,0,0,,,,1.945743,5.903462,0.358694,,,11,16,21,0,0,54,54,48,48,58,5,20,0,,0,0,0,0,0,0,0,0,0,44,44,0,0,1092
15,2,720,540,false,0,0,0,,,,5.677499,12.751458,0.245244,,,53,14,2,0,0,79,79,69,69,18,3,60,0,,0,0,0,0,0,0,0,0,0,78,78,0,0,1232
15,3,720,540,false,0,0,0,,,,3.382528,7.860550,0.189329,,,45,16,2,0,0,67,67,63,63,20,3,53,0,,0,0,0,0,0,0,0,0,0,106,98,0,0,1088
15,4,720,540,false,0,0,0,,,,2.377596,7.712923,0.217648,,,30,24,5,0,0,67,67,59,59,34,4,42,0,,0,0,0,0,0,0,0,0,0,58,60,0,0,1100
15,5,720,540,false,0,0,0,,,,2.628557,6.827518,0.275898,,,5,36,30,0,0,85,85,71,71,96,5,23,0,,0,0,0,0,0,0,0,0,0,72,68,0,0,1205
16,0,720,540,false,0,0,0,,,,1.876472,3.028492,0.326752,,,33,18,14,0,0,70,70,65,65,46,6,42,0,,0,0,0,0,0,0,0,0,0,60,52,0,0,1238
16,1,720,540,false,0,0,0,,,,2.129537,4.837249,0.270899,,,11,30,23,0,0,70,70,64,64,76,5,26,0,,0,0,0,0,0,0,0,0,0,42,44,0,0,1231
16,2,720,540,false,0,0,0,,,,3.227292,7.761670,0.213731,,,7,26,20,0,0,61,61,53,53,66,4,21,0,,0,0,0,0,0,0,0,0,0,36,36,0,0,1114
16,3,720,540,false,0,0,0,,,,2.029604,5.979926,0.247206,,,47,14,6,0,0,74,74,67,67,26,5,54,0,,0,0,0,0,0,0,0,0,0,66,60,0,0,1075
16,4,720,540,false,0,0,0,,,,8.060143,12.424387,0.270168,,,59,8,1,0,0,78,78,68,68,10,3,63,0,,0,0,0,0,0,0,0,0,0,74,66,0,0,1143
16,5,720,540,false,0,0,0,,,,3.606927,11.872262,0.255840,,,28,31,13,0,0,76,76,72,72,57,5,44,0,,0,0,0,0,0,0,0,0,0,78,76,0,0,1251
17,0,720,540,false,0,0,0,,,,1.979034,4.656700,0.277607,,,20,21,21,1,0,84,84,63,63,66,14,30,0,,0,0,0,0,0,0,0,0,0,54,58,0,0,1114
